"featureid","totalObs","meanMaxTemp","maxMaxTemp","meanDays.18","meanDays.20","meanDays.22","yearsMaxTemp.18","freqMax.18","yearsMaxTemp.20","freqMax.20","yearsMaxTemp.22","freqMax.22","meanResist","meanRMSE","flag"
750248,0,20.8168146301233,22.1408369857037,35,5,1,34,1,29,0.852941176470588,2,0.0588235294117647,149.605214909562,NA,NA
750249,0,25.0205613071483,26.3707301388118,111,84,44,34,1,34,1,34,1,333.539111489993,NA,NA
750250,0,27.0393471585372,28.50031689183,138,116,86,34,1,34,1,34,1,477.028420756819,NA,NA
750251,0,23.481614490193,24.9616224311966,93,58,14,34,1,34,1,33,0.970588235294118,175.403722017273,NA,NA
750252,0,29.3078073560836,30.8176713493304,162,141,118,34,1,34,1,34,1,683.339554681356,NA,NA
750253,0,23.1985298460481,25.0750099244536,84,49,9,34,1,34,1,32,0.941176470588235,191.074260468781,NA,NA
750255,0,25.006086114358,26.1095990184379,114,89,47,34,1,34,1,34,1,497.050878802576,NA,NA
750256,0,21.0072500617882,22.4643420403163,41,8,1,34,1,30,0.882352941176471,5,0.147058823529412,183.200398646673,NA,NA
750257,0,27.7326142200554,29.0533989212881,144,120,96,34,1,34,1,34,1,571.109094216989,NA,NA
750258,0,22.5516854992973,23.9227484368023,76,34,5,34,1,34,1,26,0.764705882352941,158.611594253241,NA,NA
750259,0,20.6672140852304,22.0874687017488,37,6,1,34,1,26,0.764705882352941,1,0.0294117647058824,128.84099303332,NA,NA
750260,0,198.311614236762,199.820421665302,222,222,222,34,1,34,1,34,1,16232.562104506,NA,NA
750261,0,23.5123096398634,25.0390775152505,93,58,15,34,1,34,1,33,0.970588235294118,175.642547935212,NA,NA
750262,0,20.8338487177785,22.6028437555252,38,8,1,34,1,28,0.823529411764706,3,0.0882352941176471,113.309054696864,NA,NA
750263,0,21.6630176811665,23.4680050934471,58,16,2,34,1,34,1,14,0.411764705882353,103.648434983124,NA,NA
750264,0,21.143526232806,22.6229867993626,50,11,2,34,1,31,0.911764705882353,4,0.117647058823529,134.925967864026,NA,NA
750265,0,21.7387916198928,23.2055008620091,62,20,2,34,1,33,0.970588235294118,14,0.411764705882353,128.684973611216,NA,NA
750266,0,22.5364161287309,24.5713738641362,79,38,6,34,1,34,1,24,0.705882352941177,179.091665095615,NA,NA
750267,0,24.0893370654267,26.1300756139041,100,72,26,34,1,34,1,34,1,315.786018164921,NA,NA
750268,0,231.237693231459,233.315696758679,222,222,222,34,1,34,1,34,1,19385.4194490559,NA,NA
750272,0,21.9983402606001,23.3658567995413,63,20,4,34,1,34,1,16,0.470588235294118,271.112193955003,NA,NA
750273,0,26.0831973887512,27.3655057642541,125,101,69,34,1,34,1,34,1,436.30196154804,NA,NA
750274,0,20.815129931984,22.6279213516462,38,8,1,34,1,28,0.823529411764706,2,0.0588235294117647,114.211525455698,NA,NA
750275,0,28.077552611129,30.1347425738352,148,127,100,34,1,34,1,34,1,684.743875468895,NA,NA
750278,0,21.315254371632,22.4405347645324,51,11,1,34,1,33,0.970588235294118,8,0.235294117647059,169.007803806062,NA,NA
